number_of_tag_barcode,number_of_pcr_index,input_cell_number,tag_sort_cell_number,pcr_sort_cell_number,collision_rate,total_nuclei,recovered_barcode,cluster_per_nucleus
384,1,12000,37,38,0.10526315789473684,38,36,11111111
384,17,12000,34,37,0.07584830339321358,501,482,829876
384,33,12000,36,18,0.05656350053361793,937,910,439560
384,49,12000,38,33,0.0676132521974307,1479,1429,279916
384,65,12000,38,28,0.07610431080361894,1879,1806,221484
384,81,12000,36,25,0.09150043365134432,2306,2199,181901
384,97,12000,32,33,0.08338914936369725,2986,2859,139909
384,113,12000,30,37,0.07273857631333541,3217,3099,129074
384,129,12000,45,24,0.08655569782330345,3905,3735,107095
384,145,12000,26,25,0.08671065032987747,4244,4058,98571
384,161,12000,37,40,0.08541533205210335,4683,4482,89246
384,177,12000,32,20,0.08409223018794808,5161,4940,80972
384,193,12000,38,38,0.08526187576126674,5747,5498,72754
384,209,12000,28,28,0.07799264823397795,6257,6009,66567
384,225,12000,29,35,0.07760371337394836,6894,6620,60423
384,241,12000,29,45,0.07555430024007909,7081,6811,58729
384,257,12000,40,18,0.083625503181405,7701,7377,54223
384,273,12000,31,20,0.08667466986794718,8330,7963,50232
384,289,12000,42,25,0.08327444051825678,8490,8132,49188
384,305,12000,22,17,0.0775890410958904,9125,8766,45631
384,321,12000,35,34,0.0941140404659718,9786,9320,42918
384,337,12000,32,29,0.07564414195430239,10285,9888,40453
384,353,12000,30,30,0.07905062685424442,10449,10030,39880
384,369,12000,32,29,0.0811385269383606,10821,10378,38543
384,1,16000,54,31,0.06451612903225806,31,30,13333333
384,17,16000,42,21,0.061946902654867256,452,438,913242
384,33,16000,42,17,0.0736318407960199,1005,968,413223
384,49,16000,38,45,0.0689419795221843,1465,1413,283086
384,65,16000,53,49,0.07893413775766717,1989,1909,209534
384,81,16000,31,24,0.08011623080116231,2409,2311,173085
384,97,16000,50,44,0.07479224376731301,2888,2779,143937
384,113,16000,33,32,0.08735564110156945,3377,3228,123916
384,129,16000,42,33,0.08481314603763583,3773,3609,110834
384,145,16000,51,30,0.08603701033405431,4161,3978,100553
384,161,16000,40,31,0.0856453558504222,4974,4758,84069
384,177,16000,41,35,0.07655764662890553,5473,5259,76060
384,193,16000,47,37,0.08587162278437446,5811,5557,71981
384,209,16000,37,18,0.07765579593154666,6194,5952,67204
384,225,16000,45,22,0.08358208955223881,7035,6735,59391
384,241,16000,45,34,0.08345793122196547,7357,7049,56746
384,257,16000,50,43,0.07652332077432766,7697,7396,54083
384,273,16000,47,46,0.08833453844299831,8298,7926,50467
384,289,16000,43,49,0.07974113024384606,8653,8303,48175
384,305,16000,45,22,0.08068303094983992,9370,8985,44519
384,321,16000,31,53,0.0747800586510264,9548,9186,43545
384,337,16000,38,34,0.08418568056648308,10168,9736,41085
384,353,16000,44,37,0.08130619971604354,10565,10128,39494
384,369,16000,49,19,0.08075772681954138,11033,10579,37811
384,1,20000,51,33,0.0,33,33,12121212
384,17,20000,46,42,0.0931098696461825,537,512,781250
384,33,20000,42,18,0.09404990403071017,1042,992,403226
384,49,20000,33,39,0.0850498338870432,1505,1441,277585
384,65,20000,64,31,0.08158280410356619,2047,1962,203874
384,81,20000,53,27,0.08237302603499787,2343,2245,178174
384,97,20000,67,28,0.09097127222982217,2924,2789,143421
384,113,20000,45,40,0.08430571761960327,3428,3281,121914
384,129,20000,51,17,0.07334766254701773,3722,3583,111638
384,145,20000,44,25,0.08450704225352113,4189,4010,99751
384,161,20000,64,33,0.08272708376636874,4811,4610,86768
384,177,20000,48,36,0.09243384271338054,5366,5114,78217
384,193,20000,55,35,0.08035714285714286,5824,5586,71608
384,209,20000,49,24,0.08778441181216717,6197,5922,67545
384,225,20000,33,37,0.08578008059873345,6948,6645,60196
384,241,20000,54,43,0.07852675469075747,7195,6907,57912
384,257,20000,50,25,0.07613355852929712,7697,7398,54069
384,273,20000,36,27,0.07818181818181819,8250,7922,50492
384,289,20000,51,18,0.07700228832951946,8740,8398,47630
384,305,20000,69,32,0.08528943175783324,9415,9009,44400
384,321,20000,39,21,0.07889524647887323,9088,8724,45851
384,337,20000,64,30,0.07720958324944635,9934,9546,41902
384,353,20000,50,42,0.0812710911136108,10668,10230,39101
384,369,20000,36,34,0.07581128988273793,11001,10577,37818
384,1,24000,68,30,0.0,30,30,13333333
384,17,24000,46,27,0.09727626459143969,514,489,817996
384,33,24000,79,36,0.08047105004906771,1019,978,408998
384,49,24000,41,42,0.06465833945628215,1361,1316,303951
384,65,24000,67,29,0.08275120902740463,1861,1784,224215
384,81,24000,56,31,0.07203032855939343,2374,2286,174978
384,97,24000,71,28,0.09202250910294604,3021,2880,138889
384,113,24000,49,30,0.08157361874457622,3457,3314,120700
384,129,24000,33,26,0.09517983851235626,4087,3891,102801
384,145,24000,73,27,0.07777777777777778,4410,4237,94406
384,161,24000,61,40,0.0757700205338809,4870,4684,85397
384,177,24000,54,26,0.07608286252354049,5310,5106,78339
384,193,24000,75,31,0.08002138656211014,5611,5383,74308
